place_id,name,keyword,domain,file
ChIJ9Qz9PGOEf4gRZrXIZ5V8Z-o,Brandon Financial Planning Inc,financial analyst,brandonplanning.com,/home/mstouffer/.local/share/cocli_data/campaigns/roadmap/indexes/google_maps_prospects/ChIJ9Qz9PGOEf4gRZrXIZ5V8Z-o.csv
ChIJG25sLpR-1YcRYE9qzA2i454,Gerber/Taylor Management,financial analyst,gerbertaylor.com,/home/mstouffer/.local/share/cocli_data/campaigns/roadmap/indexes/google_maps_prospects/ChIJG25sLpR-1YcRYE9qzA2i454.csv
